Poll,Date,Sample,Biden,Sanders,Gabbard,Spread
Final Results,--,--,61.9,22.8,0.5,Biden +39.1
RCPÂ Average,3/6 - 3/12,--,64.7,25.7,2.0,Biden +39.0
EmersonEmerson,3/11 - 3/12,434 LV,65,27,2,Biden +38
GravisGravis,3/10 - 3/12,516 LV,66,25,--,Biden +41
UnivisionUnivision,3/6 - 3/12,531 LV,63,25,2,Biden +38
UNFUNF,3/5 - 3/10,1339 LV,66,22,1,Biden +44
St. Pete PollsSt. Pete Polls,3/6 - 3/8,2480 LV,69,14,--,Biden +55
Florida Atlantic UniversityFAU,3/5 - 3/7,399 LV,61,25,3,Biden +36
St. Pete PollsSt. Pete Polls,3/4 - 3/4,1882 LV,61,12,--,Biden +47
St. Pete PollsSt. Pete Polls,2/25 - 2/26,2788 LV,34,13,--,Biden +9
St. Pete PollsSt. Pete Polls,2/18 - 2/19,2412 LV,27,11,--,Bloomberg +5
St. Pete PollsSt. Pete Polls,2/12 - 2/13,3047 LV,26,10,--,Bloomberg +1
St. Pete PollsSt. Pete Polls,1/27 - 1/28,2590 LV,41,9,--,Biden +24
Florida Atlantic UniversityFAU,1/9 - 1/12,494 RV,42,16,1,Biden +26
NY Times/SienaNYT/Siena,10/13 - 10/26,236 LV,27,13,1,Biden +8
Florida Atlantic UniversityFAU,9/12 - 9/15,RV,34,14,1,Biden +10
QuinnipiacQuinnipiac,6/12 - 6/17,417 RV,41,14,0,Biden +27
Florida Atlantic UniversityFAU,5/16 - 5/19,403 RV,39,12,0,Biden +27
