Poll,Date,Sample,Sanders,Biden,Buttigieg,Warren,Klobuchar,Yang,Steyer,Gabbard,Bloomberg,Spread
Final Results,--,--,24.7,14.9,21.3,18.5,12.7,5.1,1.7,0.2,0.1,Sanders +3.4
RCPÂ Average,1/20 - 2/2,--,23.0,19.3,16.8,15.5,9.0,3.3,3.0,1.5,1.0,Sanders +3.7
EmersonEmerson,1/31 - 2/2,853 LV,28,21,15,14,11,5,4,1,--,Sanders +7
FRA/David Binder (D)DBR (D),1/28 - 1/30,300 LV,17,15,19,15,11,1,3,3,1,Buttigieg +2
DFP/CiviqsDFP/Civiqs,1/26 - 1/29,615 LV,28,15,15,21,8,5,2,2,--,Sanders +7
MonmouthMonmouth,1/23 - 1/27,544 LV,21,23,16,15,10,3,4,1,--,Biden +2
Iowa St./CiviqsIowa St.,1/23 - 1/27,655 LV,24,15,17,19,11,5,4,2,1,Sanders +5
EmersonEmerson,1/23 - 1/26,450 LV,30,21,10,11,13,5,5,5,--,Sanders +9
USA Today/SuffolkUSA Today,1/23 - 1/26,500 LV,19,25,18,13,6,3,2,1,--,Biden +6
NY Times/SienaNYT/Siena,1/20 - 1/23,584 LV,25,17,18,15,8,3,3,1,1,Sanders +7
CBS News/YouGovCBS News,1/16 - 1/23,1356 LV,26,25,22,15,7,1,1,0,--,Sanders +1
FRA/David Binder (D)DBR (D),1/15 - 1/18,500 LV,14,24,16,18,11,3,4,1,1,Biden +6
MonmouthMonmouth,1/9 - 1/12,405 LV,18,24,17,15,8,3,4,2,--,Biden +6
DM Register/CNNDMR/CNN,1/2 - 1/8,701 LV,20,15,16,17,6,5,2,2,1,Sanders +3
CBS News/YouGovCBS News,12/27 - 1/3,953 LV,23,23,23,16,7,2,2,1,--,Tie
Iowa St./CiviqsIowa St.,12/12 - 12/16,632 LV,21,15,24,18,4,3,2,3,0,Buttigieg +3
EmersonEmerson,12/7 - 12/10,325 RV,22,23,18,12,10,2,3,2,2,Biden +1
Iowa St./CiviqsIowa St.,11/15 - 11/19,614 LV,18,12,26,19,5,4,2,2,1,Buttigieg +7
DM Register/CNNDMR/CNN,11/8 - 11/13,500 LV,15,15,25,16,6,3,3,3,2,Buttigieg +9
CBS News/YouGovCBS News,11/6 - 11/13,856 LV,22,22,21,18,5,1,2,0,--,Tie
MonmouthMonmouth,11/7 - 11/11,961 RV,13,19,22,18,5,3,3,2,0,Buttigieg +3
Univ. of IowaUniv. of Iowa,10/28 - 10/10,465 LV,18,15,16,23,1,3,3,3,--,Warren +5
QuinnipiacQuinnipiac,10/30 - 11/5,698 RV,17,15,19,20,5,3,3,3,--,Warren +1
NY Times/SienaNYT/Siena,10/25 - 10/30,439 LV,19,17,18,22,4,3,2,2,--,Warren +3
Iowa St./CiviqsIowa St.,10/18 - 10/22,598 LV,18,12,20,28,4,2,3,2,--,Warren +8
USA Today/SuffolkUSA Today,10/16 - 10/18,500 LV,9,18,13,17,3,1,3,3,--,Biden +1
EmersonEmerson,10/13 - 10/16,888 RV,13,23,16,23,1,5,2,2,--,Tie
CBS News/YouGovCBS News,10/3 - 10/11,729 LV,21,22,14,22,2,0,3,1,--,Tie
DM Register/CNNDMR/CNN,9/14 - 9/18,602 LV,11,20,9,22,3,2,2,2,--,Warren +2
Iowa St./CiviqsIowa St.,9/13 - 9/17,572 LV,16,16,13,24,3,3,2,4,--,Warren +8
FRA/David Binder (D)DBR (D),9/14 - 9/17,500 LV,9,25,12,23,8,2,3,1,--,Biden +2
CBS News/YouGovCBS News,8/28 - 9/4,LV,26,29,7,17,2,1,2,1,--,Biden +3
MonmouthMonmouth,8/1 - 8/4,401 LV,9,28,8,19,3,2,3,1,--,Biden +9
CBS News/YouGovCBS News,7/9 - 7/18,706 LV,19,24,7,17,4,0,2,0,--,Biden +5
FRA/David Binder (D)DBR (D),6/29 - 7/1,600 LV,12,17,10,20,4,1,--,1,--,Warren +2
USA Today/SuffolkUSA Today,6/28 - 7/1,500 LV,9,24,6,13,2,1,--,1,--,Biden +8
DM Register/CNNDMR/CNN,6/2 - 6/5,600 LV,16,24,14,15,2,1,--,1,--,Biden +8
CBS News/YouGovCBS News,5/31 - 6/12,587 LV,22,30,11,12,4,0,--,1,--,Biden +8
GravisGravis,4/17 - 4/18,590 RV,19,19,14,6,4,1,--,1,--,Tie
MonmouthMonmouth,4/4 - 4/9,351 LV,16,27,9,7,4,1,--,0,--,Biden +11
EmersonEmerson,3/21 - 3/24,249 RV,24,25,11,9,2,0,--,1,--,Biden +1
FRA/David Binder (D)DBR (D),3/21 - 3/24,500 LV,17,25,6,8,6,1,--,1,--,Biden +8
DM Register/CNNDMR/CNN,3/3 - 3/6,401 RV,25,27,1,9,3,0,--,0,--,Biden +2
EmersonEmerson,1/30 - 2/2,260 RV,15,29,--,11,3,--,--,--,--,Biden +11
DM Register/CNNDMR/CNN,12/10 - 12/13,455 LV,19,32,--,8,3,--,--,--,3,Biden +13
