Poll,Date,Sample,MoE,Biden,Sanders,Gabbard,Spread
Final Results,--,--,--,52.9,36.4,0.6,Biden +16.5
RCPÂ Average,3/4 - 3/9,--,--,55.7,33.3,1.3,Biden +22.4
Data for Progress (D)DFP (D),3/7 - 3/9,320 LV,5.5,59,38,2,Biden +21
Mitchell ResearchMitchell Research,3/8 - 3/8,602 LV,4.0,54,33,--,Biden +21
Target-InsyghtTarget-Insyght,3/8 - 3/8,600 LV,4.0,65,24,--,Biden +41
Yahoo News/YouGovYouGov,3/6 - 3/8,201 LV,--,54,42,1,Biden +12
MonmouthMonmouth,3/5 - 3/8,411 LV,4.8,51,36,1,Biden +15
Detroit Free PressDetroit Free Press,3/4 - 3/6,400 LV,4.9,51,27,--,Biden +24
Detroit News/WDIV-TVDetroit News,2/28 - 3/3,600 LV,4.0,29,23,1,Biden +6
Univ. of Wis/State JournalU. of Wisc.,2/11 - 2/20,662 LV,--,16,25,--,Sanders +9
EmersonEmerson,10/31 - 11/3,454 RV,4.6,34,28,1,Biden +6
NY Times/SienaNYT/Siena,10/13 - 10/25,203 LV,--,30,17,1,Biden +9
EmersonEmerson,3/7 - 3/10,317 RV,5.5,40,23,0,Biden +17
