Poll,Date,Sample,Sanders,Biden,Buttigieg,Warren,Klobuchar,Steyer,Gabbard,Spread
Final Results,--,--,34.0,17.6,15.4,12.8,9.6,9.1,0.3,Sanders +16.4
RCPÂ Average,2/19 - 2/21,--,32.5,16.0,16.0,14.0,9.5,9.0,2.0,Sanders +16.5
Data for Progress (D)DFP (D),2/19 - 2/21,1010 LV,35,16,15,16,8,8,2,Sanders +19
KLAS-TV/EmersonEmerson,2/19 - 2/20,425 LV,30,16,17,12,11,10,2,Sanders +13
Data for Progress (D)DFP (D),2/12 - 2/15,766 LV,35,14,15,16,9,10,2,Sanders +19
Las Vegas Review-JournalLVRJ,2/11 - 2/13,413 LV,25,18,10,13,10,11,--,Sanders +7
USA Today/SuffolkUSA Today,1/8 - 1/11,500 LV,18,19,8,11,4,8,1,Biden +1
FOX NewsFOX News,1/5 - 1/8,635 LV,17,23,6,12,2,12,2,Biden +6
FOX NewsFOX News,11/10 - 11/13,627 RV,18,24,8,18,2,5,2,Biden +6
CBS News/YouGovCBS News,11/6 - 11/13,708 LV,23,33,9,21,2,2,0,Biden +10
Nevada IndependentNevada Ind,10/28 - 11/2,600 LV,19,29,7,19,3,4,1,Biden +10
EmersonEmerson,10/31 - 11/2,451 RV,19,30,5,22,1,3,1,Biden +8
CNNCNN,9/22 - 9/26,324 LV,22,22,4,18,1,4,1,Tie
USA Today/SuffolkUSA Today,9/19 - 9/23,500 LV,14,23,3,19,0,3,1,Biden +4
CBS News/YouGovCBS News,8/28 - 9/4,LV,29,27,4,18,0,2,1,Sanders +2
GravisGravis,8/16 - 8/16,382 RV,10,25,5,15,2,6,2,Biden +10
Morning Consult*M. Consult*,7/1 - 7/21,749 RV,23,29,6,12,1,1,0,Biden +6
MonmouthMonmouth,6/6 - 6/11,370 LV,13,36,7,19,1,--,1,Biden +17
EmersonEmerson,3/28 - 3/30,310 RV,23,26,5,10,2,--,2,Biden +3
