Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,posemo,negemo,anx,anger,sad,tentat,certain,achieve,focuspast,focusfuture,work,money
klobuchar.txt,1,4191,93.82,68.41,29.27,49.77,27.04,31.11,54.28,1.65,0.36,0.02,0.26,0.05,0.86,0.38,2.03,0.88,1.05,2.51,0.21
gabbard.txt,1,3157,95.82,58.03,23.96,65.97,32.89,34.34,51.44,2.98,0.86,0.06,0.54,0.16,1.52,0.32,1.62,0.92,0.95,1.68,0.48
patrick.txt,1,574,96.53,60.32,75.22,51.87,26.09,29.09,50.52,2.09,0.70,0.00,0.00,0.70,0.00,0.35,1.05,0.35,0.35,1.39,0.00
democrat.txt,1,23099,95.04,63.82,29.84,39.30,34.68,30.46,54.18,1.90,1.14,0.30,0.42,0.18,1.18,0.60,2.12,0.87,1.16,2.53,0.40
warren.txt,1,11657,93.03,67.40,43.98,67.13,26.98,25.98,58.03,2.79,0.60,0.09,0.35,0.05,1.18,0.64,1.83,0.99,0.81,2.32,0.40
buttigieg.txt,1,22274,97.14,59.49,42.39,31.51,31.91,31.35,46.00,1.35,1.01,0.17,0.65,0.11,0.51,0.26,2.74,0.59,0.57,2.78,0.51
bennet.txt,1,739,96.27,69.17,10.68,28.02,24.63,28.55,55.48,0.95,0.81,0.27,0.00,0.27,2.71,0.81,2.03,0.54,0.41,1.22,0.27
steyer.txt,1,303,92.62,68.97,29.80,56.96,27.55,26.40,51.82,2.31,0.66,0.00,0.33,0.00,0.33,1.32,0.33,0.33,0.66,0.99,0.00
bloomberg.txt,1,2746,94.82,57.65,25.86,42.28,39.23,31.35,53.35,1.86,0.95,0.00,0.40,0.36,1.42,0.51,2.48,0.95,1.60,3.53,0.73
yang.txt,1,5133,87.60,72.44,29.94,75.33,24.68,23.88,61.72,3.55,0.88,0.12,0.25,0.23,1.56,0.78,1.48,1.56,1.21,2.28,0.51
dem.txt,1,34301,93.53,63.34,25.09,37.96,33.40,29.00,53.70,1.94,1.26,0.22,0.57,0.19,1.21,0.67,2.02,0.92,1.20,2.43,0.38
biden.txt,1,46498,96.86,84.20,34.02,2.21,31.59,21.83,57.53,1.05,3.79,0.26,2.26,0.41,0.79,0.26,1.33,0.54,0.52,2.19,0.89
caucus.txt,1,38362,89.71,59.52,32.20,47.67,29.42,23.91,62.73,2.52,1.33,0.17,0.51,0.28,1.62,0.91,2.37,1.68,1.67,1.77,0.32
primary.txt,1,105561,93.59,61.47,41.88,46.60,27.74,27.67,61.07,2.08,0.95,0.16,0.37,0.19,1.48,0.75,2.59,1.15,1.74,2.33,0.35
sanders.txt,1,43384,96.83,59.64,44.07,42.06,31.62,29.94,49.49,1.68,0.78,0.27,0.21,0.12,0.58,0.48,3.80,0.67,0.81,3.08,0.29