Poll,Date,Sample,Biden,Sanders,Steyer,Buttigieg,Warren,Klobuchar,Gabbard,Spread
Final Results,--,--,48.4,19.9,11.3,8.2,7.1,3.1,1.3,Biden +28.5
RCPÂ Average,2/23 - 2/27,--,39.7,24.3,11.7,11.3,6.0,5.7,2.3,Biden +15.4
EmersonEmerson,2/26 - 2/27,550 LV,41,25,11,11,5,6,2,Biden +16
Trafalgar Group (R)Trafalgar,2/26 - 2/27,1081 LV,44,23,11,10,6,6,2,Biden +21
Data for Progress (D)DFP (D),2/23 - 2/27,1416 LV,34,25,13,13,7,5,3,Biden +9
Post and CourierPost & Courier,2/23 - 2/27,543 LV,28,24,16,11,12,4,5,Biden +4
MonmouthMonmouth,2/23 - 2/25,454 LV,36,16,15,6,8,4,1,Biden +20
East Carolina U.ECU,2/23 - 2/24,1142 LV,31,23,20,6,8,2,2,Biden +8
PPP (D)PPP (D),2/23 - 2/24,866 LV,36,21,7,7,8,3,6,Biden +15
CBS News/YouGovCBS News,2/20 - 2/22,1238 LV,28,23,18,10,12,4,1,Biden +5
ClemsonClemson,2/17 - 2/25,650 LV,35,13,17,8,8,4,2,Biden +18
NBC News/MaristNBC/Marist,2/18 - 2/21,539 LV,27,23,15,9,8,5,3,Biden +4
UMass LowellUMLowell,2/12 - 2/18,400 LV,23,21,13,11,11,9,4,Biden +2
WinthropWinthrop,2/9 - 2/19,443 LV,24,19,15,7,6,5,1,Biden +5
Change ResearchChange Res.,2/12 - 2/14,1015 LV,23,23,20,15,9,8,1,Tie
East Carolina U.ECU,2/12 - 2/13,703 LV,28,20,14,8,7,7,1,Biden +8
East Carolina U.ECU,1/31 - 2/2,469 LV,37,14,19,4,8,2,2,Biden +18
Post and CourierPost & Courier,1/26 - 1/29,651 LV,25,20,18,7,11,2,3,Biden +5
FOX NewsFOX News,1/5 - 1/8,808 RV,36,14,15,4,10,1,1,Biden +21
Post and CourierPost & Courier,12/6 - 12/11,392 LV,27,20,5,9,19,2,4,Biden +7
QuinnipiacQuinnipiac,11/13 - 11/17,768 LV,33,11,5,6,13,1,1,Biden +20
CBS News/YouGovCBS News,11/6 - 11/13,933 LV,45,15,2,8,17,1,1,Biden +28
MonmouthMonmouth,10/16 - 10/21,402 RV,33,12,4,3,16,2,1,Biden +17
Post and CourierPost & Courier,10/15 - 10/21,731 LV,30,13,5,9,19,3,3,Biden +11
CBS News/YouGovCBS News,10/3 - 10/11,915 LV,43,16,2,4,18,1,0,Biden +25
GravisGravis,10/3 - 10/7,516 LV,34,10,7,0,9,2,1,Biden +24
FOX NewsFOX News,9/29 - 10/2,803 LV,41,10,4,2,12,0,1,Biden +29
WinthropWinthrop,9/21 - 9/30,462 RV,37,8,2,4,17,1,1,Biden +20
CNNCNN,9/22 - 9/26,406 LV,37,11,3,4,16,1,1,Biden +21
CBS News/YouGovCBS News,8/28 - 9/4,785 LV,43,18,1,4,14,1,1,Biden +25
Post and CourierPost & Courier,8/9 - 8/12,521 LV,36,16,1,5,17,1,2,Biden +19
MonmouthMonmouth,7/18 - 7/22,405 LV,39,10,2,5,9,1,0,Biden +27
CBS News/YouGovCBS News,7/9 - 7/18,997 LV,39,17,1,5,12,1,0,Biden +22
FOX NewsFOX News,7/7 - 7/10,701 RV,35,14,--,2,5,0,0,Biden +21
Post and CourierPost & Courier,6/11 - 6/14,933 LV,37,9,--,11,17,1,1,Biden +20
CBS News/YouGovCBS News,5/31 - 6/12,644 LV,45,18,--,6,8,1,0,Biden +27
Post and CourierPost & Courier,5/6 - 5/9,595 LV,46,15,--,8,8,1,0,Biden +31
EmersonEmerson,2/28 - 3/2,291 RV,37,21,--,0,5,1,2,Biden +16
